,工况1-1,工况1-2,工况1-3,工况1-4,工况1-5,工况1-6,工况2-1,工况2-2,工况2-3,工况2-4,工况2-5,工况2-6,工况3-1,工况3-2,工况3-3,工况3-4,工况3-5,工况3-6
331,127.05,161.57,178.96,266.37,353.1,440.16,150.28,184.5,201.79,287.87,375.6,462.68,196.95,230.62,247.74,333.45,420.94,507.97
332,127.74,162.93,180.64,269.57,357.78,446.29,150.97,185.85,203.46,291.09,380.27,468.8,197.64,231.97,249.41,336.67,425.59,514.09
333,128.41,164.25,182.27,272.68,362.34,452.27,151.64,187.17,205.1,294.24,384.82,474.77,198.31,233.3,251.05,339.82,430.14,520.05
334,129.07,165.54,183.87,275.72,366.78,458.08,152.3,188.46,206.7,297.31,389.26,480.57,198.96,234.59,252.65,342.88,434.57,525.84
335,129.72,166.79,185.42,278.68,371.1,463.73,152.94,189.71,208.25,300.3,393.57,486.22,199.61,235.85,254.2,345.86,438.87,531.48
336,130.34,168.01,186.93,281.55,375.3,469.21,153.56,190.93,209.76,303.2,397.76,491.69,200.23,237.07,255.72,348.76,443.06,536.94
337,130.95,169.2,188.4,284.34,379.36,474.52,154.16,192.12,211.22,306.02,401.82,496.98,200.83,238.26,257.18,351.57,447.11,542.23
338,131.54,170.34,189.81,287.03,383.29,479.64,154.75,193.26,212.64,308.74,405.74,502.1,201.42,239.4,258.6,354.29,451.03,547.33
339,132.1,171.44,191.18,289.63,387.08,484.57,155.31,194.37,214,311.37,409.52,507.02,201.99,240.51,259.97,356.92,454.8,552.25
340,132.65,172.51,192.49,292.12,390.73,489.31,155.85,195.43,215.32,313.9,413.16,511.76,202.53,241.58,261.29,359.45,458.44,556.98
341,133.17,173.52,193.75,294.52,394.22,493.86,156.37,196.45,216.58,316.33,416.66,516.29,203.06,242.61,262.56,361.88,461.93,561.51
342,133.67,174.5,194.96,296.81,397.57,498.2,156.87,197.42,217.78,318.65,420,520.63,203.56,243.59,263.77,364.21,465.26,565.84
343,134.15,175.43,196.11,299,400.76,502.33,157.35,198.35,218.94,320.88,423.18,524.76,204.04,244.52,264.93,366.42,468.44,569.96
344,134.6,176.31,197.2,301.08,403.79,506.26,157.8,199.24,220.03,322.99,426.21,528.68,204.5,245.41,266.03,368.53,471.46,573.87
345,135.03,177.15,198.23,303.04,406.65,509.97,158.23,200.08,221.06,324.98,429.06,532.38,204.93,246.25,267.07,370.53,474.32,577.57
346,135.43,177.93,199.21,304.89,409.34,513.46,158.63,200.86,222.04,326.87,431.76,535.87,205.34,247.05,268.05,372.41,477.01,581.05
347,135.81,178.67,200.12,306.62,411.87,516.73,159.01,201.6,222.95,328.63,434.28,539.14,205.72,247.79,268.97,374.17,479.52,584.31
348,136.16,179.36,200.97,308.24,414.22,519.77,159.36,202.29,223.8,330.27,436.62,542.17,206.08,248.48,269.82,375.82,481.87,587.34
349,136.49,179.99,201.75,309.73,416.39,522.59,159.69,202.93,224.59,331.79,438.79,544.98,206.4,249.12,270.61,377.34,484.03,590.15
350,136.79,180.57,202.47,311.1,418.39,525.17,159.99,203.51,225.31,333.19,440.78,547.56,206.71,249.71,271.34,378.73,486.02,592.72
351,137.06,181.1,203.13,312.34,420.2,527.51,160.26,204.04,225.97,334.45,442.59,549.89,206.98,250.24,272,380,487.83,595.05
352,137.31,181.58,203.71,313.46,421.82,529.61,160.5,204.51,226.55,335.59,444.22,551.99,207.23,250.72,272.59,381.13,489.45,597.14
353,137.52,182,204.23,314.45,423.26,531.47,160.72,204.94,227.08,336.6,445.65,553.85,207.45,251.15,273.11,382.14,490.88,599
354,137.71,182.36,204.69,315.31,424.51,533.09,160.9,205.3,227.53,337.48,446.9,555.46,207.63,251.52,273.57,383.02,492.13,600.6
355,137.87,182.67,205.07,316.04,425.57,534.45,161.06,205.61,227.91,338.22,447.96,556.83,207.8,251.83,273.96,383.76,493.19,601.97
356,138,182.93,205.38,316.63,426.44,535.58,161.19,205.87,228.23,338.83,448.83,557.95,207.93,252.08,274.27,384.37,494.05,603.09
357,138.1,183.12,205.63,317.1,427.12,536.45,161.29,206.06,228.47,339.3,449.51,558.82,208.03,252.28,274.52,384.84,494.73,603.96
358,138.17,183.26,205.8,317.43,427.6,537.07,161.37,206.21,228.65,339.64,449.99,559.44,208.1,252.43,274.69,385.18,495.21,604.58
359,138.21,183.35,205.9,317.62,427.89,537.44,161.41,206.29,228.75,339.84,450.27,559.81,208.14,252.51,274.8,385.38,495.49,604.94
